iter	Passed	Remaining
772	1318	387
773	1319	385
774	1321	383
775	1322	381
776	1323	379
777	1325	378
778	1326	376
779	1327	374
780	1329	372
781	1330	370
782	1331	369
783	1333	367
784	1334	365
785	1336	363
786	1337	361
787	1338	360
788	1340	358
789	1341	356
790	1342	354
791	1344	353
792	1345	351
793	1346	349
794	1348	347
795	1349	345
796	1350	344
797	1352	342
798	1353	340
799	1354	338
800	1356	336
801	1357	335
802	1359	333
803	1361	331
804	1362	330
805	1364	328
806	1365	326
807	1367	324
808	1369	323
809	1370	321
810	1372	319
811	1373	318
812	1375	316
813	1376	314
814	1378	312
815	1379	311
816	1382	309
817	1383	307
818	1384	306
819	1386	304
820	1388	302
821	1390	301
822	1391	299
823	1393	297
824	1395	295
825	1396	294
826	1397	292
827	1399	290
828	1400	288
829	1401	287
830	1403	285
831	1404	283
832	1406	282
833	1408	280
834	1411	278
835	1412	277
836	1413	275
837	1415	273
838	1416	271
839	1418	270
840	1419	268
841	1420	266
842	1422	264
843	1424	263
844	1426	261
845	1427	259
846	1429	258
847	1430	256
848	1432	254
849	1433	253
850	1435	251
851	1436	249
852	1437	247
853	1439	246
854	1441	244
855	1443	242
856	1444	241
857	1446	239
858	1447	237
859	1449	235
860	1450	234
861	1451	232
862	1453	230
863	1455	229
864	1457	227
865	1458	225
866	1460	224
867	1461	222
868	1463	220
869	1464	218
870	1466	217
871	1467	215
872	1470	213
873	1471	212
874	1473	210
875	1474	208
876	1475	207
877	1477	205
878	1478	203
879	1480	201
880	1481	200
881	1484	198
882	1485	196
883	1487	195
884	1489	193
885	1490	191
886	1492	190
887	1493	188
888	1495	186
889	1497	185
890	1499	183
891	1500	181
892	1502	179
893	1503	178
894	1505	176
895	1507	174
896	1508	173
897	1510	171
898	1512	169
899	1514	168
900	1517	166
901	1519	165
902	1520	163
903	1522	161
904	1523	159
905	1525	158
906	1526	156
907	1528	154
908	1529	153
909	1531	151
910	1533	149
911	1534	148
912	1536	146
913	1537	144
914	1538	142
915	1540	141
916	1542	139
917	1544	137
918	1545	136
919	1547	134
920	1548	132
921	1550	131
922	1552	129
923	1553	127
924	1555	126
925	1556	124
926	1558	122
927	1560	121
928	1561	119
929	1563	117
930	1565	116
931	1566	114
